Rating,Number of Reviews,Installs,Size,Year,Month,Day,Minimum Version,Latest Version,Content Rating: Everyone,Content Rating: Teen,Content Rating: Everyone 10+,Content Rating: Mature 17+,Costs Money
4.400671482,1207922,100000000,22455984.2626,2019,3,29,4.05466738559,4.05466738559,1,0,0,0,0
4.647752285,2291,10000,22455984.2626,2019,4,1,4.05466738559,4.05466738559,1,0,0,0,1
4.325407505,41637,1000000,22455984.2626,2019,3,28,4.05466738559,4.05466738559,1,0,0,0,0
4.612341881,632,50000,44000000.0,2019,4,1,4.1,1.0,0,1,0,0,0
4.287025928,66123,1000000,82000000.0,2019,3,22,4.4,1.0,0,1,0,0,0
4.125853539,3075,100000,71000000.0,2019,3,26,4.4,0.0,1,0,0,0,0
4.31726265,18937,1000000,11000000.0,2019,3,26,4.4,1.9,1,0,0,0,0
4.185566902,97,5000,63000000.0,2019,3,5,5.0,2.1,1,0,0,0,0
4.175135136,16650,1000000,22455984.2626,2019,3,20,4.05466738559,4.05466738559,1,0,0,0,0
4.207827568,92904,1000000,62000000.0,2019,4,1,4.4,2.4,1,0,0,0,0
4.535838127,3460,100000,31000000.0,2019,4,2,5.0,4.1,1,0,0,0,0
4.045930386,1720,100000,9500000.0,2019,3,15,5.0,2.4,1,0,0,0,0
4.141373158,4428,500000,4700000.0,2019,4,2,4.0,3.7,1,0,0,0,0
3.666666746,36,10000,2900000.0,2019,1,7,2.3,1.0,1,0,0,0,0
4.42797184,1430,100000,22455984.2626,2018,9,17,4.0,3.3,1,0,0,0,1
4.083333492,36,1000,22000000.0,2018,6,22,4.0,1.1,1,0,0,0,1
4.234666824,1125,100000,22455984.2626,2018,9,17,4.0,3.6,1,0,0,0,1
4.181091785,751,10000,79000000.0,2019,1,18,4.0,2.0,1,0,0,0,1
4,33,1000,33000000.0,2018,8,3,4.0,3.1,1,0,0,0,1
4.5,22,1000,44000000.0,2017,7,21,4.1,1.3,1,0,0,0,1
4.065040588,246,10000,20000000.0,2018,11,18,4.0,2.5,1,0,0,0,1
3.989382982,1507,500000,51000000.0,2018,12,22,4.1,3.3,1,0,0,0,0
4.356136799,994,50000,22455984.2626,2018,9,17,4.0,2.2,1,0,0,0,1
